ship_name,ship_size,arrived_date,arrived_from,arrived_cargo,departed_date,departed_for,departed_cargo
ARISTOTE,1821,01/07/2015,Tilbury,none,01/07/2015,Bendorf,clay
TARANTO,3009,02/07/2015,Seaham,none,04/07/2015,Figueira da Foz,clay
RIX FLEVO,4515,02/07/2015,Cardiff,none,03/07/2015,Gaeta,clay
SEA KESTREL,2225,07/07/2015,Port Talbot,powder,09/07/2015,Ghent,none
HAV DOLPHIN,3026,11/07/2015,Shoreham,none,13/07/2015,Gdansk,clay
COUNTESS ANNA,2684,13/07/2015,Belfast,stone,14/07/2015,La Pallice,none
PAMIR,3002,13/07/2015,Southampton,none,15/07/2015,Bizerte,clay
TARANTO,3009,14/07/2015,Aveiro,sand,16/07/2015,Casablanca,clay
SEA KESTREL,2225,15/07/2015,Ghent,fertiliser,16/07/2015,Porthoustock,none
PEX,4267,16/07/2015,Garston,none,17/07/2015,Alexandria,clay
ISLAY TRADER,2386,18/07/2015,St. Malo,fertiliser,21/07/2015,Porthoustock,none
JOHANNA DESIREE,3850,20/07/2015,Rotterdam,feed,21/07/2015,Southampton,none
HEBRIDEAN PRINCESS,240,22/07/2015,Dartmouth,passengers,22/07/2015,Portland,passengers
RMS NEUDORF,2620,29/07/2015,Sutton Bridge,none,30/07/2015,Vyborg,clay
POMMERN,3050,30/07/2015,Ringaskiddy,none,31/07/2015,Castellon,clay
